id,value
flare.other.NationalDefense,615515
flare.other.HealthCare,1107446
flare.other.IncomeSecurity,546350
flare.other.EducationandJobTraining,106342
flare.other.VeteranBenefits,180324
flare.other.InternationalAffairs,55951
flare.other.Transportation,98742
flare.other.NaturalResourcesandEnvironment,44311
"flare.other.Science,Space,andTechnologyPrograms",30968
flare.other.SocialSecurity,944338
flare.other.ImmigrationandOtherFederalLawEnforcement,38645
flare.other.ResponsetoNaturalDisasters,15435
flare.other.OtherGovernmentPrograms,35075
flare.other.NetInterest,283049
