date,close
22-Jan-17,46
22-Jan-17,45
23-Jan-17,45
24-Jan-17,42.1
24-Jan-17,46
24-Jan-17,57
25-Jan-17,42.3
25-Jan-17,36
26-Jan-17,42.6
25-Jan-17,41
24-Jan-17,44
25-Jan-17,59
25-Jan-17,46
27-Jan-17,44.5
26-Jan-17,45
26-Jan-17,55
28-Jan-17,45.4
27-Jan-17,42
28-Jan-17,42
28-Jan-17,49
29-Jan-17,53
29-Jan-17,48.2
30-Jan-17,51
30-Jan-17,46.8
30-Jan-17,48
29-Jan-17,43
31-Jan-17,45.3
30-Jan-17,43
31-Jan-17,43
31-Jan-17,43
31-Jan-17,53
2-Feb-17,42
1-Feb-17,45
1-Feb-17,43
1-Feb-17,53
2-Feb-17,45.3
31-Jan-17,47
3-Feb-17,44.9
2-Feb-17,54
2-Feb-17,44
2-Feb-17,43
4-Feb-17,45.2
3-Feb-17,44
5-Feb-17,46
2-Feb-17,40
5-Feb-17,53
4-Feb-17,47
5-Feb-17,47.5
4-Feb-17,47
4-Feb-17,42
6-Feb-17,47.1
6-Feb-17,53
6-Feb-17,48
6-Feb-17,42
5-Feb-17,42
7-Feb-17,47.5
6-Feb-17,42
7-Feb-17,43
8-Feb-17,47.5
6-Feb-17,48
7-Feb-17,41
7-Feb-17,53
9-Feb-17,47.8
8-Feb-17,43
8-Feb-17,53
10-Feb-17,46.7
8-Feb-17,43
9-Feb-17,52
9-Feb-17,42
12-Feb-17,46
11-Feb-17,46.7
10-Feb-17,41
12-Feb-17,46.3
11-Feb-17,40
12-Feb-17,52
12-Feb-17,39
10-Feb-17,49
13-Feb-17,52
12-Feb-17,40
13-Feb-17,46.3
13-Feb-17,40
13-Feb-17,48
13-Feb-17,48
14-Feb-17,45.3
14-Feb-17,40
14-Feb-17,53
15-Feb-17,45.8
14-Feb-17,43
15-Feb-17,40
15-Feb-17,55
16-Feb-17,45.9
17-Feb-17,45.1
17-Feb-17,45
16-Feb-17,55
16-Feb-17,38
17-Feb-17,40
18-Feb-17,44.3
19-Feb-17,43
19-Feb-17,41
18-Feb-17,41
19-Feb-17,51
19-Feb-17,45.3
18-Feb-17,41
20-Feb-17,51
20-Feb-17,50
20-Feb-17,45.5
19-Feb-17,42
19-Feb-17,49
21-Feb-17,39
20-Feb-17,41
20-Feb-17,43
21-Feb-17,38
21-Feb-17,45.1
21-Feb-17,42
23-Feb-17,44
22-Feb-17,46
22-Feb-17,43
22-Feb-17,44
21-Feb-17,51
23-Feb-17,45.8
22-Feb-17,52
22-Feb-17,43
24-Feb-17,45.1
23-Feb-17,53
22-Feb-17,45
23-Feb-17,43
25-Feb-17,45.1
24-Feb-17,41
26-Feb-17,51
25-Feb-17,41
26-Feb-17,45.6
27-Feb-17,46.1
26-Feb-17,50
26-Feb-17,42
27-Feb-17,50
27-Feb-17,42
28-Feb-17,46.1
28-Feb-17,50
1-Mar-17,41
28-Feb-17,43
1-Mar-17,45.7
2-Mar-17,45.8
1-Mar-17,52
4-Mar-17,41
1-Mar-17,43
2-Mar-17,53
2-Mar-17,43
3-Mar-17,45.6
3-Mar-17,43
4-Mar-17,45.4
4-Mar-17,45
5-Mar-17,48
5-Mar-17,52
5-Mar-17,46.8
4-Mar-17,43
5-Mar-17,47
5-Mar-17,43
6-Mar-17,50
6-Mar-17,41
6-Mar-17,51
5-Mar-17,44
6-Mar-17,47.6
7-Mar-17,47.6
6-Mar-17,43
7-Mar-17,45
7-Mar-17,49
8-Mar-17,48.3
12-Mar-17,43
7-Mar-17,42
9-Mar-17,47
8-Mar-17,41
11-Mar-17,44
7-Mar-17,42
9-Mar-17,49
8-Mar-17,49
10-Mar-17,48.7
9-Mar-17,48
9-Mar-17,42
11-Mar-17,47.9
12-Mar-17,36
10-Mar-17,44
11-Mar-17,45
12-Mar-17,47
12-Mar-17,47.1
12-Mar-17,42
13-Mar-17,46
12-Mar-17,43
13-Mar-17,52
13-Mar-17,46.9
13-Mar-17,39
14-Mar-17,45.3
14-Mar-17,45
14-Mar-17,40
14-Mar-17,43
16-Mar-17,46
15-Mar-17,44.5
15-Mar-17,47
15-Mar-17,42
16-Mar-17,44.2
14-Mar-17,41
16-Mar-17,48
16-Mar-17,49
16-Mar-17,42
17-Mar-17,44.4
16-Mar-17,41
17-Mar-17,40
18-Mar-17,42.4
18-Mar-17,37
