Title:               Federal Government: National Defense Consumption Expenditures and Gross Investment
Series ID:           FDEFX
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Billions of Dollars
Date Range:          1947-01-01 to 2017-07-01
Last Updated:        2017-12-21 7:51 AM CST
Notes:               BEA Account Code: A824RC
                     
                     A Guide to the National Income and Product Accounts of the United
                     States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)

DATE          VALUE
1947-01-01   22.488
1947-04-01   21.184
1947-07-01   20.272
1947-10-01   20.728
1948-01-01   20.880
1948-04-01   20.652
1948-07-01   20.760
1948-10-01   21.600
1949-01-01   22.524
1949-04-01   22.820
1949-07-01   22.632
1949-10-01   21.660
1950-01-01   20.948
1950-04-01   21.004
1950-07-01   22.744
1950-10-01   26.124
1951-01-01   33.596
1951-04-01   40.320
1951-07-01   48.132
1951-10-01   52.928
1952-01-01   53.528
1952-04-01   57.020
1952-07-01   58.704
1952-10-01   60.540
1953-01-01   61.340
1953-04-01   62.004
1953-07-01   60.980
1953-10-01   60.300
1954-01-01   57.360
1954-04-01   55.248
1954-07-01   53.236
1954-10-01   52.044
1955-01-01   52.372
1955-04-01   51.900
1955-07-01   53.104
1955-10-01   52.164
1956-01-01   52.784
1956-04-01   54.968
1956-07-01   55.116
1956-10-01   57.060
1957-01-01   58.856
1957-04-01   59.664
1957-07-01   60.688
1957-10-01   60.648
1958-01-01   60.840
1958-04-01   61.976
1958-07-01   62.644
1958-10-01   63.448
1959-01-01   61.136
1959-04-01   60.284
1959-07-01   61.392
1959-10-01   60.948
1960-01-01   60.032
1960-04-01   59.508
1960-07-01   61.960
1960-10-01   62.096
1961-01-01   63.404
1961-04-01   63.356
1961-07-01   64.956
1961-10-01   66.448
1962-01-01   69.184
1962-04-01   68.912
1962-07-01   70.444
1962-10-01   70.276
1963-01-01   69.368
1963-04-01   68.872
1963-07-01   70.828
1963-10-01   70.884
1964-01-01   70.380
1964-04-01   69.372
1964-07-01   70.156
1964-10-01   68.988
1965-01-01   68.016
1965-04-01   68.164
1965-07-01   71.156
1965-10-01   74.964
1966-01-01   77.476
1966-04-01   79.136
1966-07-01   85.624
1966-10-01   87.660
1967-01-01   92.212
1967-04-01   93.492
1967-07-01   96.656
1967-10-01   97.748
1968-01-01  100.452
1968-04-01  101.512
1968-07-01  101.484
1968-10-01  101.976
1969-01-01  101.276
1969-04-01  100.852
1969-07-01  103.456
1969-10-01  102.696
1970-01-01  102.844
1970-04-01   99.608
1970-07-01   99.928
1970-10-01  100.472
1971-01-01   99.456
1971-04-01   97.828
1971-07-01   97.436
1971-10-01   97.244
1972-01-01  101.392
1972-04-01  103.696
1972-07-01   97.444
1972-10-01  100.020
1973-01-01  103.012
1973-04-01  103.352
1973-07-01   99.648
1973-10-01  102.152
1974-01-01  105.360
1974-04-01  108.696
1974-07-01  109.444
1974-10-01  113.296
1975-01-01  113.896
1975-04-01  113.784
1975-07-01  118.744
1975-10-01  121.460
1976-01-01  121.544
1976-04-01  122.764
1976-07-01  123.864
1976-10-01  126.972
1977-01-01  129.936
1977-04-01  132.928
1977-07-01  133.656
1977-10-01  134.860
1978-01-01  137.364
1978-04-01  141.936
1978-07-01  144.364
